北中心测试环境有几套，都是什么环境？	八套环境
新终端平台打开时无法自动更新，显示ctb与cts版本不一致，无法使用	请联系分行科技重新升级，谢谢
华为mate8的兼容性问题	您好，在安装应用时会提示该应用未经风险检测，此时不要选择“官方推荐”，选择“继续安装”，即可完成安装。
我网点扫描工作站己恢复，谢王总	您尽量在问题中答复，以免答复与问题混淆，谢谢！
现在融e借支持几种还款方式？	每个客户所属营销活动不同，看到的也不同，根据参数设置，目前生产有等额本金，等额本息，按期还息一次还本
win10下载我行网银助手后网银进不去怎么办？	您好，请提供错误截图详查，谢谢。
PAD闪退，急需解决	闪退问题已经解决了，请今日再尝试，谢谢
客户融e购积分无法使用	请提供具体报错截图以及操作步骤等相关信息
翻看问题时第一次进入只能看到标题，点击问题进入才能看到详细信息	系统升级后，手机银行e缴费系统打不开，非常慢。
手机银行投资理财提示网络不给力，请稍后重试(联通4G网络)	您在手机银行 我的-关于-检查新版本里面点一下升级就好啦～ 新客户端已经没有问题啦
扫描工作站无法自动更新，在哪里能下载2.78.0.1全量安装版,谢谢	最新的工作站版本号是2.78.01.2。自动更新需分行科技进行预下载后通过TMS进行更新。手动更新使用系统管理员登录会计档案影像管理系统，在个人应用-程序下载-工作站客户端程序里面，下载全量安装包进行
平板无法登录，无法授权	有两种可能性：1、误修改了本地的配置文件，导致误改了统一认证地址，请截图：文档-config-Sevinfo 配置文件的内容，以排除该问题；2、密码输入错误，或者用户被冻结，可以在电脑上登陆BIOM试
平板无法登录且无法授权	该报错一般为环境配置错误或密码含有特殊字符。请尝试更改密码为字母和数字的组合，再进行登录试试，谢谢
工银e支付每日额度多少？每月有没有限制？哪些内容属于e支付范围，受额度限制？	使用U盾可最高把日单笔、累计限额上调至20000；月累50000。
测试信息管理平台-环境计划中的系统日期，指的是什么系统？	柜面联机交易的时间
Apple pay 绑定借记卡报错提示卡片无效无法办理	您好，烦请提供客户申请所使用的借记卡号和大致的交易时间，以便我们准确查明申请失败原因。
有版本说明了	馃憤
使用融e联码上赢查询营销业绩，报错。已经身份认证过。原来在95588中心工作过	您好，能否方便联系我提供一下您报错的服务号信息，我们分析一下，谢谢
联网核查客户证件有效期随意输入，客户信息不联动变，但打印记录变是为什么？	您好，打印记录指的是什么交易的打印记录?联网核查本身打印内容没有证件日期字段。
银企互联测试报错“企业签名时间晚于工行服务器时间！”	银企互联支付类交易校验报文中SighTime字段，请注意在字段中上送日期为主机日期，时间为自然时间。
菜单显示问题	瀵癸紝鏄繖鏍凤紝瀹夊崜鐗堢殑鐗硅壊锛屾矇娴稿紡闃呰馃槍
BlOM中印鉴卡无法修改，做印签卡停用，要素修改完毕后，无法确认(灰显)，过去可以	杜老师，在停用画面按下F11，无任何反应
个人信用卡管理系统信用卡调额输入卡号报错	卡号最后一位输入就报错了，显示不出来
关于热门用户关注的问题	您好您的具体问题是什么？
在“发现”栏目中，点击进入“关注”人员，然后点击“关注”，在“发现”栏目中	1
提问题时，输入描述，图片只能一次增加一张，希望可以实现一次添加多张功能	您好，暂时只能一张一张添加，支持多次上传。后续升级一下构件，类似微信，一次选择多张图片上传。
希望提问题时可以增加@其他人的功能	您好，对APP使用建议的问题，请提到对应标签，不要提到版本投产业务验证中，谢谢.
现在是否可以自己创建标签，发表的信息如果在“可以选择的标签中均未含有”	您好，对APP使用建议的问题，请提到对应标签，不要提到版本投产业务验证中，谢谢.
在解答问题时，点击问题中的照片，显示的效果“奇怪”，可以拖动，不能下载，有时能放	您好，对APP使用建议的问题，请提到对应标签，不要提到版本投产业务验证中，谢谢.
请问有人回答我的问题 同一页面怎么看不到我回复他给我的回答啊？	鎮ㄦ槸璇翠富椤靛埛涓嶅嚭浣犳彁闂鐨勫洖绛斾箞锛熸湁涓洿渚挎嵎鏌ョ湅鑷繁闂鍜岃嚜宸卞洖绛旂殑鏂瑰紡鏄幓鎴戠殑涓婚〉閲岎煒?
银企互联有哪些介入方式？	对于企业客户使用我行银企互联系统，总的来说提供总行接入和分行接入两种方式，对应的深信服服务器和外联通讯前置服务器分别部署在数据中心和一级分行。
i服务app我的关注显示重复，如果刷新一次就显示正常	鎮ㄥソ锛屾偍鎸囩殑鏄叧娉ㄩ噷鐨勯棶棰樿繕鏄爣绛炬垨鑰呰鏄敤鎴佛煒?
我行互联网金融类应用系统所使用的分布式产品都是什么用途？	电子银行类应用对于Hadoop等平台的使用主要是用HDFS存储图片信息，此外使用HBASE实现大表的快速KV查询
Hadoop是数据库吗？	Hadoop是一个分布式基础架构，不是数据库
Hadoop和Spark在应用场景上有什么分别？	Haddop姣旇緝閫傚悎绂荤嚎鎵归噺鏁版嵁澶勭悊锛屽疄鏃舵€ц姹傚緢浣庣殑鍦烘櫙銆傚熀浜庡唴瀛樼殑鍒嗗竷寮忚绠楁鏋剁殑Spark鑳藉鎻愪緵鎺ヨ繎瀹炴椂鐨勬暟鎹垎鏋愯兘鍔涴煒?
银企互联测试返回报错“D0086企业ID不符”	此问题由于上送URL参数中ID，上送报文中的userID，以及签名的证书实际ID不一致导致，请修改后重试即可
需要安全部审批的防火墙变更通过后能否也自动实施？	可以的
高危端口在提交防火墙的时候是否可以直接提示限制开通期限？	谢谢您的建议，后续版本安排优化
TIMS上能否将项目质控信息集成到一个统一的视图中便于产品经理跟踪	您好，您说的项目质控信息具体指哪些?我们先分析下
热门问题列表中只有文字描述，希望添加回复数和关注度。	发现这块后续会尽快重构优化下
什么样的短信通过流数据平台处理？	余额变动提醒～
回答答案超过显示时，点击进入才能看见全文，希望在显示尾部添加省略号～	鎮ㄥソ锛岃阿璋㈡偍瀹濊吹鐨勫缓璁紝褰撳墠鏈€鏂扮増宸茬粡鏀逛负鐪佺暐鍙凤紝鎮ㄥ彲浠ユ洿鏂颁竴涓嬬増鏈皾璇曪紝璋㈣阿馃槃
海外网银各个分区都有几套测试环境？有没有自然时间的测试环境？	目前有四套各分区测试环境，其中亚太分区有五套，第五套环境与自然时间一致。
B2B支付报错30001	30001是企业通行证的错误代码，表示验签失败。先检mallb公钥与通行证公钥是否一致，如果两边公钥一致，再检查是不是密码配错了。
海外个人网银登录后界面的时间是怎么换算的？	海外个人网银的后台服务器时间都是北京时间，前台客户展现的时间=北京时间通过时差表换算后的时间，展现给客户。
个人网银密码在主机重制后，再次登陆个人网银报密码错误，是为什么？	现在个网的登陆密码数据已同步到IPVS应用，通过主机QR复制给IPVS。此问题原因：1、主机的QR复制问题，没有同步给平台；2、MQ问题；3、平台IPVS的QR复制问题。所以，遇到此问题，可以联系个网
无密小额账户（1000元以下）能否可以实时挂销办理，还是需要挂失七天后办理？	系统没有控制 七天是业务规定 是否放开处理建议联系上级行业务部门
